Wall time,Step,Value
1726361897.642153,100,2.819366455078125
1726361915.574091,200,5.570578098297119
1726361933.003789,300,5.745016574859619
1726361950.288301,400,5.778451442718506
1726361967.41789,500,5.838632583618164
1726361984.538452,600,5.840145111083984
1726362001.794553,700,5.79662561416626
1726362019.168626,800,5.756636619567871
1726362036.21462,900,5.864231586456299
1726362053.350422,1000,5.837306022644043
1726362070.301203,1100,5.898234844207764
1726362087.167979,1200,5.929629802703857
1726362104.531455,1300,5.756984710693359
1726362121.696347,1400,5.826918601989746
1726362138.802426,1500,5.846680641174316
1726362155.775558,1600,5.890823841094971
1726362173.271834,1700,5.716662406921387
1726362190.623545,1800,5.763010025024414
1726362207.714096,1900,5.849168300628662
1726362224.820083,2000,5.8465776443481445
1726362242.416462,2100,5.6829023361206055
1726362259.222742,2200,5.950163841247559
1726362276.228886,2300,5.881025314331055
1726362293.539856,2400,5.776882171630859
1726362310.517923,2500,5.8886590003967285
1726362327.261178,2600,5.973265171051025
1726362344.300883,2700,5.868827819824219
1726362361.457108,2800,5.828272342681885
1726362378.349988,2900,5.920008659362793
1726362394.692301,3000,6.117851734161377
1726362414.829208,3100,4.966865062713623
1726362431.738132,3200,5.9132843017578125
1726362448.594542,3300,5.933608531951904
1726362465.127742,3400,6.04784631729126
1726362482.744548,3500,5.676724910736084
1726362499.738986,3600,5.883804798126221
1726362516.64678,3700,5.914619445800781
1726362533.550607,3800,5.915583610534668
1726362550.6696,3900,5.84085750579834
1726362567.813424,4000,5.834118843078613
1726362584.762507,4100,5.89995813369751
1726362601.551382,4200,5.95750093460083
1726362618.352074,4300,5.950610160827637
1726362635.558921,4400,5.812634468078613
1726362652.908859,4500,5.762585163116455
1726362669.891194,4600,5.88899040222168
1726362687.040556,4700,5.830685615539551
1726362704.067132,4800,5.873397350311279
1726362721.256634,4900,5.816618919372559
1726362738.348855,5000,5.851164817810059
1726362756.076696,5100,5.642189025878906
1726362773.951029,5200,5.594088554382324
1726362791.589325,5300,5.667359828948975
1726362808.581616,5400,5.8858442306518555
1726362826.063619,5500,5.720842361450195
1726362843.319914,5600,5.796685218811035
1726362860.6505,5700,5.768082141876221
1726362878.245056,5800,5.684260845184326
1726362896.616705,5900,5.442972183227539
1726362914.81844,6000,5.49431037902832
1726362933.370618,6100,5.390190124511719
1726362951.314234,6200,5.57222318649292
1726362969.098339,6300,5.6229705810546875
1726362986.162568,6400,5.860301494598389
1726363003.224937,6500,5.861261367797852
1726363020.737343,6600,5.709578514099121
1726363038.821686,6700,5.531824588775635
1726363056.382651,6800,5.693113327026367
1726363073.948508,6900,5.692138671875
1726363091.090764,7000,5.833465099334717
1726363107.933895,7100,5.937972545623779
1726363124.986597,7200,5.864294528961182
1726363142.291966,7300,5.7784271240234375
1726363159.323924,7400,5.871062755584717
1726363176.174897,7500,5.934511661529541
1726363193.145662,7600,5.891740798950195
1726363210.10131,7700,5.897255897521973
1726363227.007885,7800,5.917642116546631
1726363243.938132,7900,5.904014587402344
1726363260.888039,8000,5.89984130859375
1726363277.945257,8100,5.862281322479248
1726363294.621259,8200,5.9974846839904785
1726363311.325773,8300,5.986042022705078
1726363328.136105,8400,5.948411464691162
1726363345.027568,8500,5.920592308044434
1726363362.010627,8600,5.889086723327637
1726363379.081031,8700,5.857150077819824
1726363396.050535,8800,5.8923773765563965
1726363412.675153,8900,6.016034126281738
1726363429.835891,9000,5.82733154296875
1726363446.610942,9100,5.961802005767822
1726363463.28477,9200,5.998553276062012
1726363480.173231,9300,5.920115947723389
1726363497.028981,9400,5.9318671226501465
1726363514.074705,9500,5.867565155029297
1726363530.791414,9600,5.981133937835693
1726363547.570205,9700,5.960096836090088
1726363564.416504,9800,5.9361982345581055
1726363581.279645,9900,5.931756973266602
1726363598.06464,10000,5.955783367156982
1726363614.994844,10100,5.90635871887207
1726363631.769379,10200,5.961634635925293
1726363648.037543,10300,6.146965026855469
1726363664.900427,10400,5.930908203125
1726363681.913856,10500,5.877257347106934
1726363699.361892,10600,5.730663776397705
1726363716.532168,10700,5.8237080574035645
1726363733.325054,10800,5.956029415130615
1726363749.901217,10900,6.032105922698975
1726363766.56549,11000,6.001138687133789
