Wall time,Step,Value
1726537144.821631,100,2.081547975540161
1726537169.939145,200,3.9762394428253174
1726537194.883389,300,4.008818626403809
1726537220.356304,400,3.925816774368286
1726537245.833785,500,3.9226670265197754
1726537270.905309,600,3.988316535949707
1726537295.259472,700,4.106606960296631
1726537320.058571,800,4.03137731552124
1726537344.32373,900,4.121344566345215
1726537369.406445,1000,3.986467123031616
1726537394.032104,1100,4.0633697509765625
1726537419.121808,1200,3.9839370250701904
1726537444.02779,1300,4.016507625579834
1726537468.955175,1400,4.010061740875244
1726537493.768748,1500,4.030320167541504
1726537519.158541,1600,3.937741994857788
1726537543.628471,1700,4.0872321128845215
1726537568.320704,1800,4.04958963394165
1726537593.065649,1900,4.041839122772217
1726537617.67539,2000,4.06439733505249
1726537642.5102,2100,4.025683403015137
1726537667.16869,2200,4.0550971031188965
1726537691.893583,2300,4.044251918792725
1726537716.668854,2400,4.037071228027344
1726537741.384619,2500,4.0454421043396
1726537766.098799,2600,4.045802593231201
1726537790.634883,2700,4.077505111694336
1726537815.057539,2800,4.093717575073242
1726537839.426279,2900,4.10369873046875
1726537863.746949,3000,4.111690044403076
1726537888.385208,3100,4.0587358474731445
1726537912.747647,3200,4.104687690734863
1726537936.774937,3300,4.162743091583252
1726537961.405999,3400,4.058919429779053
1726537985.493954,3500,4.1522369384765625
1726538010.144633,3600,4.055397033691406
1726538034.573421,3700,4.093520164489746
1726538058.901619,3800,4.111006736755371
1726538083.367242,3900,4.087061405181885
1726538108.189327,4000,4.030358791351318
1726538132.740229,4100,4.07119607925415
1726538157.013323,4200,4.119897842407227
1726538181.215769,4300,4.132199764251709
1726538205.307438,4400,4.151176929473877
1726538229.679961,4500,4.102575302124023
1726538253.859972,4600,4.134994983673096
1726538277.969605,4700,4.148273944854736
1726538302.416518,4800,4.091253280639648
1726538326.175281,4900,4.207960605621338
1726538351.273526,5000,3.984412908554077
1726538375.887222,5100,4.062503337860107
1726538400.741205,5200,4.02453088760376
1726538425.417836,5300,4.053239345550537
1726538450.023559,5400,4.062506675720215
1726538474.928285,5500,4.015567779541016
1726538498.934668,5600,4.165615558624268
1726538523.404124,5700,4.086420059204102
1726538548.054555,5800,4.05633020401001
1726538572.582582,5900,4.079220771789551
1726538597.481635,6000,4.014323711395264
1726538622.31496,6100,4.02691650390625
1726538647.148422,6200,4.027367115020752
1726538671.577511,6300,4.094725608825684
1726538695.983283,6400,4.096418857574463
1726538719.681624,6500,4.219667434692383
1726538744.201676,6600,4.079192638397217
1726538769.698907,6700,3.9204118251800537
1726538794.012642,6800,4.113393306732178
1726538818.030756,6900,4.163376331329346
1726538842.577747,7000,4.0746846199035645
1726538867.288258,7100,4.045590400695801
1726538891.75751,7200,4.08670711517334
1726538916.049094,7300,4.116851329803467
1726538940.599619,7400,4.0734171867370605
1726538964.719383,7500,4.151199817657471
1726538989.063969,7600,4.1034135818481445
1726539013.377667,7700,4.111732482910156
1726539038.140632,7800,4.038247585296631
1726539062.741731,7900,4.065053462982178
1726539086.314339,8000,4.241998672485352
1726539111.074231,8100,4.039677619934082
1726539135.729136,8200,4.0550947189331055
1726539160.080471,8300,4.107014179229736
1726539183.245416,8400,4.317991733551025
1726539207.458163,8500,4.129209518432617
1726539230.278603,8600,4.38158655166626
1726539253.871958,8700,4.239054203033447
1726539279.357777,8800,3.92417049407959
1726539304.355662,8900,4.000112533569336
1726539328.79678,9000,4.090383052825928
1726539353.154178,9100,4.106103897094727
1726539377.720302,9200,4.070326328277588
1726539402.154973,9300,4.092863082885742
1726539426.106828,9400,4.176015853881836
1726539450.648746,9500,4.073659896850586
1726539474.969284,9600,4.111849784851074
1726539499.504654,9700,4.07543420791626
1726539523.805418,9800,4.114796161651611
1726539547.251406,9900,4.265653610229492
1726539572.458793,10000,3.9665679931640625
1726539596.500652,10100,4.160468101501465
1726539620.129853,10200,4.231470108032227
1726539644.493607,10300,4.104310512542725
1726539668.732527,10400,4.127622127532959
1726539692.390529,10500,4.225073337554932
1726539717.871267,10600,3.925363540649414
1726539742.230368,10700,4.104400157928467
1726539766.427911,10800,4.132895469665527
1726539790.352816,10900,4.178584098815918
1726539815.331801,11000,4.003814697265625
1726539844.190569,11100,3.4652578830718994
1726539868.381497,11200,4.134139537811279
1726539892.234652,11300,4.192048072814941
1726539915.400624,11400,4.317065715789795
1726539938.836039,11500,4.267500877380371
1726539962.166094,11600,4.285403251647949
1726539986.801589,11700,4.05963134765625
1726540010.495701,11800,4.220505714416504
1726540034.133838,11900,4.230155944824219
1726540057.944659,12000,4.200703144073486
1726540083.763389,12100,3.8722472190856934
1726540108.811365,12200,3.9919564723968506
1726540132.522512,12300,4.219440460205078
1726540157.028409,12400,4.079887866973877
1726540181.037086,12500,4.1649885177612305
1726540204.92987,12600,4.18525505065918
1726540228.58935,12700,4.2264580726623535
1726540251.894768,12800,4.2903852462768555
1726540275.875903,12900,4.170958042144775
1726540300.7612,13000,4.017544269561768
1726540325.696652,13100,4.011122226715088
1726540350.533199,13200,4.024977684020996
1726540374.946656,13300,4.097022533416748
1726540399.400948,13400,4.090474605560303
1726540424.954419,13500,3.912332773208618
1726540449.77999,13600,4.028307914733887
1726540474.825838,13700,3.9922022819519043
1726540498.993533,13800,4.1385016441345215
1726540523.163146,13900,4.1369452476501465
1726540547.325256,14000,4.140405178070068
1726540572.003221,14100,4.050412178039551
1726540595.953206,14200,4.175350666046143
1726540620.421913,14300,4.086295127868652
