Wall time,Step,Value
1726361897.665836,100,0.39140933752059937
1726361915.579317,200,0.4303141236305237
1726361933.046556,300,0.30849647521972656
1726361950.304036,400,0.2349860668182373
1726361967.426945,500,0.23695291578769684
1726361984.545845,600,0.42664769291877747
1726362001.823384,700,0.1717672199010849
1726362019.188138,800,0.25759947299957275
1726362036.236887,900,0.3334677517414093
1726362053.372828,1000,0.190354585647583
1726362070.309796,1100,0.26945337653160095
1726362087.182837,1200,0.11616083979606628
1726362104.535517,1300,0.3307580053806305
1726362121.704097,1400,0.14629840850830078
1726362138.819838,1500,0.4089396893978119
1726362155.787211,1600,0.21259167790412903
1726362173.284987,1700,0.18147967755794525
1726362190.642147,1800,0.3116612434387207
1726362207.718647,1900,0.18976345658302307
1726362224.828517,2000,0.4694541096687317
1726362242.423007,2100,0.24112559854984283
1726362259.227206,2200,0.16126777231693268
1726362276.243349,2300,0.19915129244327545
1726362293.553589,2400,0.18356621265411377
1726362310.524125,2500,0.27002280950546265
1726362327.270473,2600,0.1516524702310562
1726362344.313738,2700,0.19421318173408508
1726362361.466719,2800,0.12500683963298798
1726362378.364418,2900,0.155573308467865
1726362394.695815,3000,0.3037683367729187
1726362414.838084,3100,0.1863572895526886
1726362431.743754,3200,0.27701452374458313
1726362448.605651,3300,0.20805585384368896
1726362465.135074,3400,0.09782133251428604
1726362482.75945,3500,0.11950797587633133
1726362499.753904,3600,0.15175452828407288
1726362516.654099,3700,0.11614014953374863
1726362533.559419,3800,0.07305421680212021
1726362550.674514,3900,0.11974295228719711
1726362567.841927,4000,0.15852272510528564
1726362584.775846,4100,0.20836827158927917
1726362601.561215,4200,0.16743753850460052
1726362618.362194,4300,0.11642687022686005
1726362635.575181,4400,0.16881665587425232
1726362652.919062,4500,0.13898147642612457
1726362669.905846,4600,0.0993492603302002
1726362687.049509,4700,0.09695877134799957
1726362704.078342,4800,0.0861830860376358
1726362721.262142,4900,0.1024186909198761
1726362738.358442,5000,0.10072240233421326
1726362756.102302,5100,0.13010059297084808
1726362773.959432,5200,0.2065744400024414
1726362791.592075,5300,0.1946735680103302
1726362808.588998,5400,0.13625192642211914
1726362826.071223,5500,0.09365769475698471
1726362843.332701,5600,0.06238289177417755
1726362860.654583,5700,0.16140101850032806
